# 02AggregateData2Daily.R; alles mean
%	 351
%	 16
% Key	Time	nnit13	GWl3	GWl25	GWl32	Wt13	Wt18	sol71	con47	At47	Smoist24	St24	q13	q18	rain	
1	2013-03-05	4.89705555555556	0.476647099266667	NaN	0.409270836444444	4.69711111111111	4.54022222222222	180.2476	0.0281733333333333	4.84791111111111	NaN	NaN	22.7800732444444	22.5844386444444	0
2	2013-03-06	4.83384270833333	0.474695533625	NaN	0.432521266541667	4.15364583333333	4.07989583333333	151.50153125	0.02818125	3.93403125	NaN	NaN	22.2526801354167	21.8184686145833	0
3	2013-03-07	4.65763333333333	0.4785144842	NaN	0.449872781733333	4.531	4.45483333333333	100.236166666667	0.0279983333333333	5.5656	NaN	NaN	21.3570499666667	21.0346394666667	0
4	2013-03-15	1.1329	0.562396137	NaN	0.432061442	4.04	4.05	610.9	0.0284	1.38	NaN	NaN	13.234225	13.182597	0
5	2013-03-18	3.41190476190476	0.421968039928571	NaN	0.114722665714286	4.48214285714286	4.40928571428571	98.0060476190476	0.0277619047619048	4.29628571428571	NaN	NaN	38.6699065714286	36.9614589285714	0
6	2013-03-19	4.17841354166667	0.38800509875	NaN	0.102120481145833	4.16020833333333	4.08666666666667	116.48171875	0.0279083333333333	3.04354166666667	NaN	NaN	36.7565546041667	35.94322471875	0
7	2013-03-20	4.62870561797753	0.384505291011236	NaN	0.101565562	4.06123595505618	4.00089887640449	42.7382134831461	0.0279269662921348	2.30088764044944	NaN	NaN	46.8424508876404	45.1209927191011	3.88314606741573
8	2013-03-21	4.70168125	0.39277022621875	0.832388888888889	0.1257518075	3.94177083333333	3.85979166666667	51.2382291666667	0.0279114583333333	1.31189583333333	NaN	NaN	50.3746239479167	47.25404121875	0
9	2013-03-22	4.37431666666667	0.40414104240625	0.819	0.20920760625	4.0390625	3.95395833333333	118.233333333333	0.02783125	0.831947916666667	NaN	NaN	45.9924314270833	43.28204659375	0
10	2013-03-23	4.20190520833333	0.40983394115625	0.82509375	0.26655484375	3.61291666666667	3.54927083333333	105.56509375	0.0278166666666667	-0.921458333333333	NaN	NaN	40.4394153229167	38.1400429583333	0
11	2013-03-24	4.056403125	0.41638933546875	0.838416666666667	0.33560958125	3.21479166666667	3.1746875	179.045458333333	0.027803125	-1.84216666666667	NaN	NaN	34.9888687395833	33.1296923541667	0
12	2013-03-25	3.93872916666667	0.42716945990625	0.85434375	0.37182478125	2.9496875	2.8596875	131.3914375	0.027740625	-2.11967708333333	NaN	NaN	30.7441795208333	29.5308796770833	0
13	2013-03-26	3.83919166666667	0.4392647295625	0.870854166666667	0.39272266875	2.98364583333333	2.90197916666667	191.952291666667	0.0275416666666667	-1.42553125	NaN	NaN	27.93880234375	26.38299884375	0
14	2013-03-27	3.75422604166667	0.45135143846875	0.885395833333333	0.4106644125	3.241875	3.17614583333333	201.42503125	0.02733125	-0.801375	NaN	NaN	24.85019921875	23.47771184375	0
15	2013-03-28	3.64089333333333	0.459983314033333	0.893655555555556	0.411872886666667	3.48988888888889	3.43522222222222	123.3542	0.0270766666666667	-0.360266666666667	NaN	NaN	23.0839508111111	21.7059283444444	0
16	2013-03-29	3.54251041666667	0.473240206125	0.905458333333333	0.40926926875	3.7459375	3.62291666666667	90.6594583333333	0.026875	0.404375	NaN	NaN	21.4168936354167	19.9215683333333	0.3
17	2013-03-30	3.46606979166667	0.49121350075	0.918822916666667	0.42351339375	3.92739583333333	3.7971875	116.256479166667	0.0267052083333333	0.840666666666667	NaN	NaN	19.56791959375	18.32260409375	0
18	2013-03-31	3.362459375	0.52236285971875	0.945135416666667	0.43980633125	3.4228125	3.33520833333333	94.4289583333333	0.0267041666666667	-0.281520833333333	NaN	NaN	17.6935553020833	16.4066492916667	0
19	2013-04-01	3.31216210526316	0.534377072589474	0.954568421052632	0.452024545263158	3.26863157894737	3.24084210526316	175.151147368421	0.0266863157894737	-0.796210526315789	NaN	NaN	16.1744733473684	15.2468765789474	0
20	2013-04-02	3.2367625	0.557602117	0.973708333333333	0.463523775	3.51145833333333	3.46520833333333	224.073645833333	0.026540625	0.663572916666667	NaN	NaN	14.3983104583333	13.9091049166667	0
21	2013-04-03	3.18175416666667	0.57726508965625	0.9904375	0.4725970875	3.82302083333333	3.71864583333333	115.54490625	0.0264145833333333	1.49498958333333	NaN	NaN	12.933986375	12.8368843020833	0
22	2013-04-04	3.166721875	0.5845620589375	0.989510416666667	0.4796411	4.181875	4.09145833333333	169.448395833333	0.02626875	2.36940625	NaN	NaN	12.53247184375	12.3763320520833	0
23	2013-04-05	3.15750208333333	0.6077659718125	1.00273958333333	0.4835631125	3.74041666666667	3.66427083333333	36.85525	0.0262416666666667	2.05442708333333	NaN	NaN	11.8768736354167	11.5694081666667	0
24	2013-04-06	3.0619	0.645914814	1.03453125	0.4895339375	4.29572916666667	4.15760416666667	89.7326979166667	0.0261041666666667	1.71416666666667	NaN	NaN	11.08212053125	10.7410366354167	0
25	2013-04-07	3.002284375	0.64932734296875	1.03527083333333	0.491543725	4.1325	4.01697916666667	220.308	0.0261354166666667	0.758666666666667	NaN	NaN	10.80867546875	10.5602212604167	0
26	2013-04-08	2.96835104166667	0.6349056895	1.01089583333333	0.4890266125	4.77520833333333	4.56604166666667	189.478489583333	0.0260552083333333	3.82970833333333	NaN	NaN	10.9491608020833	10.5126980833333	0.6
27	2013-04-09	3.029728125	0.65751998071875	1.02091666666667	0.4841094625	5.4746875	5.24947916666667	106.444645833333	0.025946875	4.85291666666667	NaN	NaN	11.04540809375	10.2192309375	1.2
