%	 365
%	 15
% Key	Time	nnit13	GWl3	GWl25	GWl32	Wt13	Wt18	sol71	con47	At47	Smoist24	q13	q18	rain	
1	2015-01-01	1.75024968461538	0.480899760416666	0.948640979166666	0.177815994791667	5.21680555555555	5.19902777777777	19.2396666666667	0.0408180555555555	1.8859375	0.361015625	37.11286171875	34.9591632256944	0
2	2015-01-02	1.94910865384615	0.516133598958333	0.867342734375	0.175711682291667	4.99756944444444	5.00125	12.1246666666667	0.0371815972222222	2.51533680555555	0.364833333333333	43.2732493888889	40.9564014583333	2
3	2015-01-03	NaN	0.537560057291667	0.832675354166667	0.166034104166667	4.99878472222222	4.97128472222222	11.78090625	0.0359302083333333	1.68017013888889	0.360098958333333	44.5570480243055	41.6291900173611	1.9
4	2015-01-04	2.08594652173913	0.521845307291667	0.845401760416666	0.149101026041667	4.87854166666666	4.85743055555555	30.9170590277777	0.0357243055555556	2.67508680555555	0.362942708333333	51.7014388368055	46.4153994965277	2.5
5	2015-01-05	2.5034527266028	0.522178489583333	0.806789427083333	0.189351270833333	4.72510416666666	4.65472222222222	64.6211527777777	0.0361423611111111	0.606333333333333	0.360390625	44.80978409375	42.0752436458333	0
6	2015-01-06	2.51549166666667	0.549152583333333	0.796357640625	0.284926973958333	4.20388888888889	4.2234375	15.20046875	0.0357055555555556	-2.6195	0.354348958333333	36.5172606909722	34.6250910833333	0
7	2015-01-07	2.34688717948718	0.571399265625	0.832866286458333	0.309592145833333	4.82947916666666	4.81729166666666	36.0056597222222	0.0356954861111111	1.45154513888889	0.34959375	31.4153370694444	30.2389073368055	0.5
8	2015-01-08	2.2113813559322	0.501716026041667	0.8247138125	0.2749260625	5.3665625	5.32006944444444	7.72907291666666	0.0357524305555555	5.05185069444444	0.355473958333333	46.5650116840277	40.0191552777777	5.7
9	2015-01-09	NaN	0.168097130208333	0.756585364583333	0.180490244791667	5.77774305555555	5.74354166666666	15.1761666666667	0.0353263888888889	8.01562152777777	0.364166666666667	62.5359719444444	54.1783400381944	2.5
10	2015-01-10	1.99756145833333	0.0631032447916666	0.671579692708333	0.139483854166667	7.41489583333333	7.35295138888889	36.5622777777777	0.0336079861111111	11.8334444444444	0.43421875	95.5464674305554	75.0953699895833	2.3
11	2015-01-11	2.40842460744154	0.080268875	0.6336171875	0.168341208333333	5.52114583333333	5.44902777777777	7.78759374999998	0.0329954861111111	3.75976736111111	0.393807291666667	67.769521	56.2394297916666	0.4
12	2015-01-12	NaN	0.218215072916667	0.644750328125	0.208240671875	5.83385416666666	5.82708333333333	7.58982638888887	0.03274375	6.15347916666666	0.362020833333333	50.9733849895833	46.5295569340277	0.4
13	2015-01-13	1.98232283018868	0.363610963541667	0.647967973958333	0.236988453125	6.43215277777777	6.39173611111111	44.0243402777777	0.0328503472222222	9.17337152777776	0.357953125	42.9719257881944	40.8746666875	2
14	2015-01-14	1.9580875	0.340707932291667	0.669470651041667	0.194102463541667	6.05729166666666	5.93899305555555	11.3643854166666	0.03309375	4.93076736111111	0.359083333333333	45.2857691319444	42.2603957361111	4
15	2015-01-15	2.07242094797355	0.32454715625	0.645967098958333	0.215737208333333	6.05805555555555	6.05680555555555	18.7196944444444	0.0333399305555555	7.25776388888888	0.363114583333333	41.4646403472222	39.4364670555555	0.2
16	2015-01-16	2.12830070422535	0.447973203125	0.668470239583333	0.241575151041666	6.52482638888889	6.43368055555555	1.01659722222222	0.0333607638888889	5.88325	0.356921875	36.6608651145833	35.2217687048611	1
17	2015-01-17	1.99844528301887	0.516436098958333	0.698770114583333	0.264503208333333	5.93694444444444	5.80989583333333	33.6226597222222	0.0335677083333333	2.67089236111111	0.354984375	31.9728645486111	30.85080615625	0.1
18	2015-01-18	1.96917031823745	0.556156182291667	0.705499286458333	0.301733916666666	4.80993055555555	4.73385416666666	62.3293680555554	0.0339239583333333	-0.632319444444444	0.351828125	27.8782027048611	26.8141027395833	0.1
19	2015-01-19	1.98037291666667	0.579664166666667	0.705677216145833	0.323283877604167	4.73354166666666	4.68057291666666	44.0251545138888	0.0342090277777778	-0.416465277777777	0.348994791666667	24.9155220243055	23.9163334097222	0
20	2015-01-20	1.9788981438959	0.595066151041666	0.721082473958333	0.330240583333333	4.63128472222222	4.4878125	18.0110416666667	0.0343864583333333	-0.531461805555555	0.348	22.7768538993055	21.7859397256944	0
21	2015-01-21	1.973683662314	0.618671604166667	0.738037317708333	0.358199223958333	3.94326388888889	3.88020833333333	19.3565381944444	0.0350822916666667	-2.1235	0.347427083333333	19.7877322569444	18.9484065833333	0
22	2015-01-22	NaN	0.641072135416667	0.763010432291667	0.36329009375	4.21850694444444	4.14947916666666	12.5947048611111	0.0359680555555556	-0.00634027777777813	0.345677083333333	17.4035457152777	16.8090512708333	0
23	2015-01-23	1.84958333333333	0.661842276041667	0.79394465625	0.380250578125	4.29381944444444	4.19465277777778	33.6953715277777	0.0365263888888889	0.265388888888889	0.344	15.3650053402777	14.8260707361111	0
24	2015-01-24	1.8249502690583	0.667400088541667	0.793764088541667	0.39006525	3.83263888888889	3.77038194444444	15.2932013888889	0.0370486111111111	-0.869336805555554	0.343692708333333	14.7182485555555	14.0569870451389	0.1
25	2015-01-25	NaN	0.690544088541667	0.823254390625	0.367049401041666	3.99118055555555	3.93951388888889	50.7555902777777	0.0374677083333333	0.987614583333332	0.343723958333333	14.2343207638889	13.8016754548611	0.5
